movieCd,movieNm,openDt
20081672,과속스캔들,20081203
20081668,초감각 커플,20081127
20072148,GP 506,20080403
20072687,경축! 우리사랑,20080410
20080764,님은 먼 곳에,20080724
20081058,고死 : 피의 중간고사,20080807
20081243,영화는 영화다,20080911
20072151,바보,20080228
20080741,고고 70,20081003
20080050,아름답다,20080214
20081403,그 남자의 책 198쪽,20081023
20080968,눈에는 눈 이에는 이,20080731
20081090,달려라 자전거,20080807
20071053,이리,20081113
20080663,크로싱,20080626
20080174,과거는 낯선 나라다,20080306
20081718,로맨틱 아일랜드,20081224
20080887,비몽,20081009
20081682,연인들,20081204
20080397,가루지기,20080430
20072145,하늘을 걷는 소년,20081023
20080015,라듸오 데이즈,20080131
20071676,아스라이,20080111
20081570,중경,20081106
20081555,125 전승철,20081028
20080331,도레미파솔라시도,20080403
20081612,"소년, 소년을 만나다",20081120
20080183,에로틱 번뇌 보이,20080307
20072075,나비두더지,20080221
20080912,"감독들, 김기영을 말하다",20080620
20081556,귀로,20081028
20080008,어린 왕자,20080117
20070656,소리아이,20080918
20080668,인디포럼2008-국내신작 3,20080530
20080292,"여름, 속삭임",20081016
20071070,궤도,20080711
20070658,필승必勝 Ver 2.0 연영석,20080606
20081560,아파트,20081028
20081394,"아르헨티나여, 나를 위해 울어주나요?",20081016
20061230,내부순환선,20080222
20080257,"동거, 동락",20080327
20080294,인디다큐페스티발2008-길,20080328
20080303,천막,20080329
20081263,외톨이,20080918
20072052,소년감독,20081030
20080014,마지막 선물,20080205
20081163,안녕? 허대짜수짜님!,20080822
20080100,동백아가씨,20081120
20080313,나의 스캔들,20080327
20080146,허밍,20080313
20081733,미안하다 독도야,20081231
20070587,리튼,20081226
20081698,4요일: 자살을 부르는 요일,20081211
20080743,1724 기방난동사건,20081203
20081605,"용서, 그 먼 길 끝에 당신이 있습니까",20081106
20081569,길,20081106
20081567,맨데이트: 신이 주신 임무,20081030
20081369,슬리핑 뷰티,20081023
20081367,가벼운 잠,20081023
20080399,트럭,20080925
