movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
614696,#살아있다,#살아있다,2020-06-24,6300000,13416285,7.221,98,2020,6,2359485,Cho Il,572225|1156197|1586567|2260416|927755|2776202|2414743|1572347|2772781|2173679,유아인|박신혜|이현욱|진소연|김학선|소희정|주보비|전배수|이채경|오혜원
619803,범죄도시 2,범죄도시 2,2022-05-18,7600000,101166707,7.29,106,2022,5,2376041,이상용,1024395|2035488|1418581|1078674|1332468|1953453|2298157|1627313|1673497|1522159,마동석|손석구|최귀화|박지환|허동원|하준|정재광|남문철|박지영|이주원
623135,싱크홀,싱크홀,2021-08-11,11400000,17970000,6.9,113,2021,8,583166,김지훈,1248450|1024396|1326172|2116909|1872378|1123145|1510020|2128181|1615316|1257630,차승원|김성균|이광수|권소현|김혜준|김재화|남다름|정영숙|이학주|Han Hye-rin
626872,비상선언,비상선언,2022-08-03,18052672,19200000,7.516,140,2022,8,1059129,한재림,20738|25002|20737|110388|1296713|1887382|1292971|2278760|2273915|2790263,송강호|이병헌|전도연|김남길|임시완|김소진|박해준|도영서|현봉식|우미화
660360,노량: 죽음의 바다,노량: 죽음의 바다,2023-12-20,40000000,34210966,6.4,152,2023,12,1049134,김한민,75912|229752|83682|83637|2159394|1916075|1346897|141857|1591491|1694435,김윤석|백윤식|정재영|허준호|김성규|이규형|이무생|최덕문|안보현|박명훈
726139,탈출: 프로젝트 사일런스,탈출: 프로젝트 사일런스,2024-07-11,14750000,6283415,6.993,96,2024,7,1135344,Kim Tae-gon,115290|150125|550683|240948|1351055|25003|1177278|2633250|1278162|2774992,이선균|주지훈|김희원|문성근|예수정|김태우|박희본|박주현|김수안|하도권
727340,헌트,헌트,2022-08-10,17000000,25994,6.718,131,2022,8,73249,이정재,73249|17120|150126|1388365|2791233|1295417|1044800|125732|1222433|3005649,이정재|정우성|전혜진|허성태|고윤정|김종수|정만식|임형국|정경순|정재성
753091,더 문,더 문,2023-08-02,20000000,92718,6.547,129,2023,8,84969,김용화,85008|1470219|1304595|564844|1203792|1607301|2870602|141548|1222330|1330446,설경구|도경수|김희애|박병은|조한철|최병모|홍승희|이성민|김래원|이이경
793058,하이파이브,하이파이브,2025-05-30,14450000,10551515,7.095,120,2025,5,84976,강형철,2078000|1164507|572225|980225|550683|998412|96632|1473841|62336|1096793,이재인|안재홍|유아인|라미란|김희원|오정세|신구|진영|진희경|장광
799379,늑대사냥,늑대사냥,2022-09-21,9000000,20541,6.369,122,2022,9,1294527,김홍선,1255411|1713025|1872629|1252017|150697|93996|1333030|2039484|1682490|2083708,서인국|장동윤|박호산|정소민|고창석|장영남|손종학|정문성|이성욱|홍지윤
928713,소설가의 영화,소설가의 영화,2022-04-21,71560,382227,6.6,92,2022,4,150975,홍상수,588209|123664|564849|2973301|554945|1887586|2549743|64454|3147955|2756156,이혜영|김민희|서영화|박미소|권해효|조윤희|하성국|기주봉|이은미|Kim Si-ha
