movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,roi
86262,잘 알지도 못하면서,잘 알지도 못하면서,ko,2009-05-14,128,100000,208867,5.8,33,0.8264,"['드라마', '코미디']","['Jeonwonsa Film', 'Finecut']",['KR'],2009,5,1.08867
91073,만추,만추,ko,2011-02-17,113,6200000,4820000,6.91,67,1.1179,"['드라마', '로맨스']","['North by Northwest Entertainment', 'SCS Entertainment', 'Film Workshop']","['CN', 'US', 'KR', 'HK']",2011,2,-0.22258064516129034
91078,완득이,완득이,ko,2011-10-20,107,4160000,34000000,6.963,54,1.683,"['드라마', '코미디']","['UBU Film', 'CJ Entertainment', 'Another Pictures']",['KR'],2011,10,7.173076923076923
91088,돼지의 왕,돼지의 왕,ko,2011-11-03,96,130000,13,6.1,79,1.6626,"['애니메이션', '스릴러', '드라마', '범죄']","['Studio Dadashow', 'KT&G Sangsangmadang']",['KR'],2011,11,-0.9999
94047,마이웨이,마이웨이,ko,2011-12-21,137,25500000,16653488,7.883,416,2.4363,"['드라마', '액션', '역사', '전쟁']","['CJ Entertainment', 'Directors', 'SK Planet']",['KR'],2011,12,-0.34692203921568626
110415,설국열차,설국열차,ko,2013-08-01,127,39200000,86758912,6.906,9937,8.5175,"['액션', 'SF', '드라마']","['Opus Pictures', 'Moho Film', 'CJ Entertainment', 'Union Investment Partners']",['KR'],2013,8,1.213237551020408
123377,피에타,피에타,ko,2012-09-06,104,103000,6616296,7.076,389,1.2467,['드라마'],"['Next Entertainment World', 'Kim Ki Duk Film', 'Finecut']",['KR'],2012,9,63.23588349514563
134126,회사원,회사원,ko,2012-10-11,96,3500000,7339398,6.754,182,1.8089,"['드라마', '액션', '범죄', '스릴러']",['Showbox'],['KR'],2012,10,1.0969708571428571
160704,베를린,베를린,ko,2013-01-30,120,9000000,48965210,6.7,209,1.7718,"['액션', '스릴러', '범죄']","['CJ Entertainment', 'Filmmaker R&K', 'Union Investment Partners']",['KR'],2013,1,4.440578888888889
214209,숨바꼭질,숨바꼭질,ko,2013-08-14,107,1900000,35461505,6.5,100,0.9601,"['스릴러', '미스터리']","['Next Entertainment World', 'Studio Dream Capture']",['KR'],2013,8,17.66395
227783,넛잡: 땅콩 도둑들,The Nut Job,en,2014-01-17,86,42000000,120885527,5.857,1000,2.508,"['애니메이션', '코미디', '가족', '모험']","['Open Road Films', 'GulfStream Pictures', 'Redrover', 'ToonBox Entertainment']","['CA', 'KR', 'US']",2014,1,1.8782268333333334
282631,명량,명량,ko,2014-07-30,128,9500000,138342258,6.988,300,1.9273,"['전쟁', '액션', '드라마', '역사']",['Big Stone Pictures'],['KR'],2014,7,13.562342947368421
285213,해적: 바다로 간 산적,해적: 바다로 간 산적,ko,2014-08-06,129,13000000,64400000,6.998,226,3.1456,"['액션', '모험', '코미디', '판타지']","['Lotte Entertainment', 'Harimao Pictures', 'Cinedigm']",['KR'],2014,8,3.953846153846154
290098,아가씨,아가씨,ko,2016-06-01,144,8575000,38600000,8.202,4000,14.0548,"['스릴러', '드라마', '로맨스']","['Moho Film', 'Yong Film', 'CJ Entertainment']",['KR'],2016,6,3.501457725947522
