movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
282892,서유기 리턴즈,서유기 리턴즈,2011-02-17,0,0,2.5,79,2011.0,2.0,118688,신재호,1631356|1260409|2648875|2648878|142993,류담|김병만|Han Min-gwan|민아령|최홍일
282907,살인자,살인자,2014-01-16,0,0,4.2,76,2014.0,1.0,1344139,Lee Gi-wook,1024395|1344127|913196|1210577|939144,마동석|안도규|김현수|김민서|김혜나
283096,흉터,흉터,2011-10-13,0,0,0.0,64,2011.0,10.0,133942,Lim Woo-seong,1344674|1344673,정희태|Pak So-yeon
283486,베일,베일,2013-12-05,0,0,6.2,73,2013.0,12.0,1345742,Jung Chang-Hyun,992632|1345735|1195973|1345739|1345740,유상재|Kim Seung-Yun|Jung Chan-sung|Sung Min-Soo|Kim Kyung-mi
283807,붉은 바캉스 검은 웨딩 2,붉은 바캉스 검은 웨딩 2,2013-11-28,0,0,0.0,88,2013.0,11.0,1134247,Choi Wi-an,2636513|577397|1694436|1134247,Moon Ji-yeong-I|김재록|Yu Ann|Choi Wi-an
283924,악심,악심,2014-07-19,0,0,0.0,29,2014.0,7.0,228278,Lee Sung-gang,,
283934,팡이요괴,팡이요괴,2014-07-19,0,0,0.0,26,2014.0,7.0,,,,
284063,소녀괴담,소녀괴담,2014-07-02,0,0,7.2,90,2014.0,7.0,1346916,Oh In-chun,1257899|117508|63446|1414545|1257630,강하늘|김소은|김정태|Park Doo-sik|Han Hye-rin
284135,자유의 언덕,자유의 언덕,2014-09-04,0,0,6.6,66,2014.0,9.0,150975,홍상수,33517|83122|564849|1347175|1080935,加瀬亮|문소리|서영화|김의성|윤여정
284152,좋은 친구들,좋은 친구들,2014-07-10,0,0,6.7,114,2014.0,7.0,3383332,Lee Do-yoon,132180|150125|1326172|1238554|127848,지성|주지훈|이광수|이휘향|최진호
284216,거미의 땅,거미의 땅,2016-01-14,0,0,0.0,150,2016.0,1.0,1347445,Kim Dong-ryung,,
284301,화장,화장,2014-09-26,0,0,6.3,89,2014.0,9.0,87554,임권택,17121|1246931|126741|1194671|1346848,안성기|김규리|김호정|전혜진|연우진
285213,해적: 바다로 간 산적,해적: 바다로 간 산적,2014-08-06,13000000,64400000,6.998,129,2014.0,8.0,980218,이석훈,86889|110388|77188|138527|84996,손예진|김남길|오달수|박철민|유해진
285696,산다,산다,2015-05-21,0,0,6.3,166,2015.0,5.0,1080194,박정범,1080194|1552971|1694435|1177278|1200395,박정범|이승연|박명훈|박희본|이나라
285777,18: 우리들의 성장 느와르,18: 우리들의 성장 느와르,2014-08-14,0,0,6.333,104,2014.0,8.0,1350865,Han Yun-sun,1307736|1774855|1794013|496934|1988490,이재응|차엽|Lee Ik-jun|Sa Hyeon-jin|배유람
285861,인 허 플레이스,인 허 플레이스,2014-09-04,0,0,6.2,115,2014.0,9.0,1351011,Albert Shin,140319|1673770|1191711|227441|1164499,손지나|안소요|길해연|김경익|Kim Chang-hwan
286687,화려한 외출,화려한 외출,2013-12-05,0,0,7.0,80,2013.0,12.0,1352934,Ko Kyeong-Ah,5235257|1352931|1352932|1630811|1632773,김선영|변준석|Oh Cho-hee|김지훈|허정민
286702,족구왕,족구왕,2014-08-21,0,0,7.1,104,2014.0,8.0,1352954,Woo Moon-gi,1164507|1106149|2201946|1576061|2188161,안재홍|황승언|정우식|강봉성|황미영
286850,오래된 인력거,오래된 인력거,2011-12-15,0,0,8.0,85,2011.0,12.0,3676089,Lee Seong-gyou,,
287336,"메밀꽃, 운수 좋은 날, 그리고 봄봄","메밀꽃, 운수 좋은 날, 그리고 봄봄",2014-08-21,0,0,7.0,90,2014.0,8.0,1045485,한혜진,1096793|143541|3142259|4099883|4726452,장광|류현경|남상일|박영재|Lee Jong-hyeok
287537,비정한 도시,비정한 도시,2012-10-25,0,0,4.2,90,2012.0,10.0,,,551171|107751|75914|125734|1177278,조성하|김석훈|서영희|이기영|박희본
287647,카트,카트,2014-11-13,0,0,7.2,104,2014.0,11.0,1278184,Boo Ji-young,37939|1077269|496937|84751|1891352,염정아|문정희|김영애|김강우|황정민
287649,마담 뺑덕,마담 뺑덕,2014-10-02,0,0,6.3,111,2014.0,10.0,94003,임필성,17120|929122|1276894|550683|2361037,정우성|이솜|Park So-young|김희원|Park Seo-yeon
287880,보미의 방,보미의 방,2014-08-21,0,0,0.0,65,2014.0,8.0,2000142,Kim Sang-hwi,1304602|1244815|232018|1234596|1278161,안서현|이영아|심형탁|박해미|정준원
288320,생생활활,생생활활,2013-03-21,0,0,1.0,100,2013.0,3.0,105617,박철수,1075003|4777841|2708971|528339|139516,오인혜|고인배|Cho Yeon-jin|오광록|김성민
288322,좋은 친구들,좋은 친구들,2013-03-28,0,0,3.7,87,2013.0,3.0,,,1244801|1254416|1235047,연정훈|최정원|이지훈
288331,콩가네,콩가네,2013-07-11,0,0,5.0,108,2013.0,7.0,1371835,Nam Gee-woong,77182|140319|1257637|64454|139499,김병옥|손지나|심은진|기주봉|Kim Dong-beom
288392,윤희,윤희,2014-01-09,0,0,5.0,89,2014.0,1.0,1475707,Yoon Yeo-chang,553977|1731537|577397,Choi Ji-yeon|황석정|김재록
288395,결혼의 기원,결혼의 기원,2013-01-28,0,0,3.0,103,2013.0,1.0,1977929,Min Kyeol,570299|1332471|1977932|1977933|1977934,Lee Sun-jin|Lee Yo-seong|Choe Yoon-seul|Yang Young-ryoon|Kim Mi-ra-I
288396,인생은 새옹지마,인생은 새옹지마,2014-05-30,0,0,5.0,31,2014.0,5.0,1380841,Kim Tae-yong,1257601|571173|2128951|1523579|1504972,고경표|이초희|Ahn Jae-Min|신혜선|Park Soo-jin
288397,스톤,스톤,2014-06-12,0,0,6.0,109,2014.0,6.0,1861527,조세래,1330448|69379|79574|1299218|528339,조동인|김뢰하|박원상|동방우|오광록
288398,화창한 그날들,화창한 그날들,2014-03-14,0,0,0.0,90,2014.0,3.0,,,,
288399,오빠가 돌아왔다,오빠가 돌아왔다,2014-03-20,0,0,0.0,94,2014.0,3.0,1315177,No Zin-soo,42799|1011130|1388163|1060562|39257,손병호|Kim Min-ki|이아현|Yeo Min-joo|한보배
