movie_id,director_name_ko,cast_names_ko
20070091,박상준,백윤식|이문식|박효준|김유정|라미란|우현|김상호|안미나|정경호|최령
20070466,원신연,김윤진|김미숙|박희순|최무성|장항선|양진우|정동환|이도겸|조덕현|서동수
20070504,김현석,임창정|엄지원|박철민|탁트인|김철준|이대연|백일섭|김희원|정종훈|서호영
20070435,전윤수,김강우|이하나|이태리|임원희|김성원|정진|함영희|김효석|김명자|김미수
20070545,김진성,김혜수|김영찬|류승룡|김지영|노민우|최두영|신동호|김동현|홍기준|오일용
20072520,정길영,류덕환|오만석|최정우|이선균|김호연|탁우석|박재현|송요셉|정혜원|소영철
20070639,이한,감우성|최강희|엄태웅|박정민|이은아|이연희|정일우|임정은|서신애|박현정
20070637,윤태윤,임창정|송지효|최성국|신이|김형일|정혜윤|이상윤|박영수|김태호|홍지영
20070610,한지승,설경구|김태희|김도연|이경호|임병훈|김해수|김해석|유일한|정슬기|양재성
20070640,박용집,한예슬|이종혁|권오중|김인권|윤주상|조혜진|손봉수|조석환|이연주|김동철
20070661,류승진,손태영|장근석|데니 안/ 안신원|김산호|장희진|진태현|유인영|이정훈|권진영|이영진
20071675,윤인호,변희봉|손현주|신하균|이혜영|김혁|이은성|박유리|신정근|한재영|노승범
20070660,권칠인,이미숙|김민희|안소희|김성수|김준성|송지혜|조영수|한혜진|함현주|김경형
20080015,하기호,류승범|이종혁|김사랑|김뢰하|오정세|최우석|황보라|이상혁|이남희|전수지
20071064,이상기,김명민|손예진|김해숙|김철준|김기천|김준배|김정태|홍의정|김병옥|박종희
20071067,정윤철,황정민|전지현|진지희|박현영|홍희자|서영화|최우혁|조상현|김기석|김한길
20080008,최종현,탁재훈|강수한|조안|박원상|이인선|신동미|선우선|최재민|김희석|김은선
20070382,임순례,문소리|김정은|엄태웅|김지영|조은지|강재원|이미도|조영진|이봉규|정석용
20080011,정용기,박용우|이보영|김수현|성동일|김응수|안길강|조희봉|강규영|김명수|이상찬
20070548,박현진,김하늘|윤계상|차현정|신성록|김혜옥|옥지영|서동원|이대연|허자연|김란
20071047,최진원,최성국|공형진|최정원|송요셉|윤제문|탁트인|최기훈|김중기|이한위|김홍엽
20080014,김영준,신현준|허준호|조수민|권오중|김현아|조원희|박민지|기주봉|김명국|홍승현
20072151,김정권,차태현|하지원|박희순|박그리나|신동수|유윤상|조덕현|정경순|이기영|전미선
20080046,나홍진,김윤석|하정우|서영희|박효주|김유정|최정우|정인기|김영선|최지윤|김은성
20080142,김종현,안성기|조한선|정석용|조진웅|이은지|최일화|박철민|선우선|정인기|김수남
20080226,김해곤,송승헌|권상우|김인권|박한별|임정희|박유택|최재환|노남석|이명호|정우
20080105,펑샤오강,장한위
20080146,박대영,이천희|한지혜|정재진|손은서|김수현|박충선|이도겸|김명일|최혜진|조정환
20072148,공수창,천호진|조현재|이영훈|이도겸|김병철|강남미|성진욱|박상언|민성욱|조진웅
20080397,신한솔,봉태규|김예원|박영서|김영애|오달수|윤여정|김상일|류미주|김호원|서영
20080331,강건향,장근석|정의철|차예련|임주환|김혜옥|박민지|이은|한태윤|이근희|박은규
20080394,윤종빈,하정우|윤계상|이승민|윤진서|이장혁|이정민|김준서|서영화|권세인|윤아정
20080291,이인항,유덕화|매기 큐|적룡
20080656,임원국,박정아|박진우|장민호|이원종|김태호|김고운|이일화|양금석|이현미
20080516,송동윤,유승호|오수아|이창훈|김유정|김경란|강길남|홍민기|박상하|김동수|맹관표
20080736,강우석,설경구|정재영|김영필|강신일|유해진|탁트인|이상현|이재원|조한영|박창용
20071060,김상만,나문희|김선아|이기연|최정우|강대희|성동명|소희|손종규|박영훈|임진영
20070291,곽재용,신민아|온주완|유건|임적안|최재성|정호빈|송원영|송윤회|홍서연|최정우
20080663,김태균,차인표|신명철|주다영|서영화|임홍식|홍성수|김민채|김경란|박정순|김나영
20072673,조남호,심혜진|김수미|이상우|이다희|이계인|박준환|백승일|한용수|서성경|서하나
20080968,안권태,한석규|차승원|송영창|김윤태|이병준|김혜정|박영찬|임성규|김지석|손병욱
20080764,이준익,수애|정진영|정경호|주진모|신현탁|조미령|이주실|박윤호|신정근|홍영승
20080871,정영배,정웅인|성지루|최종원|최지연|최우혁|이상훈|박현순|조현국|유수영|김수정
20072152,김지운,송강호|이병헌|정우성|엄지원|오일용|오달수|김광일|손병호|이청아|김선영
20081058,창,이범수|남규리|김범|윤정희|권현상|백하나|이도현|이얼|공정환|손여은
20080833,류승완,임원희|공효진|박시연|황보라|김수현|권지훈|김병옥|안길강|오지혜|구본웅
20081132,김진영,장근석|문메이슨|송하윤|고규필|오광록|김도연|박영진|최재환|박현숙|김병옥
20081002,이윤기,전도연|하정우|김혜옥|김영민|이장욱|김중기|김희정|장소연|오지은|이승연
20081001,김유진,정재영|한은정|허준호|안성기|김명수|신정근|조원희|이광희|박윤희|조주현
20081243,장훈,소지섭|강지환|김태웅|홍수현|고창석|허태희|송용태|한기중|곽희원|박상진
20081244,박광춘,김수로|이한위|백성현|박보영|이민호|문채원|이찬호|김성령|김주희|강내균
20080399,권형진,유해진|진구|김설우|김준배|경규원|장준녕|김하영|심재원|전동성|박창희
20080741,최호,조승우|신민아|이원정|곽선영|이성훈|강경래|정현아|손대구|강명찬|최민철
20081403,김정권,이동욱|유진|김현주|조정일|박동진|조덕현|고수희|박휘순|기주봉|유다인
20081519,하나도 준지,하라 히데코|이태성|오나가 마키|정동환|서재경
20072686,정지우,박해일|김혜수|김남길|이새별|김영재|김준배|허민|박용성|백설아|한지원
20081391,이경미,공효진|이종혁|서우|황우슬혜|방은진|배성우|서보익|라미란|봉준호|박찬욱
20080887,김기덕,이나영|오다기리 죠|이호영|진태현|김민수|한기중
20050086,강이관,문소리|이선균|강래연|주진모|강길삼|최무성|박미현|노윤|최형인|류현정
20081395,정윤수,손예진|김주혁|주상욱|이주실|천성훈|김병춘|오정세|정세형|오연아|손희순
20081611,전윤수,김민선|김영호|김남길|채송화|김규리|추자현|한명구|이성훈|박예슬|박용
20080637,민규동,주지훈|김재욱|유아인|최지호|탁트인|이상하|이휘향|문희경|김창완|박준면
20061223,배형준,송창의|이완|박그리나|이기영|한성진|안길강|정경호|박영서|홍의정|배형준
20080890,류장하,유지태|이연희|채정안|강인|최수영|황석정|최희용|나수윤|최민호|박보경
20080743,여균동,이정재|김석훈|김옥빈|이원종|김수남|김현우|이광희|유지연|조덕현|남정희
20081672,강형철,차태현|박보영|왕석현|임지규|황우슬혜|정원중|김기방|김혜진|노수정|류수경
20080750,정정화,김선아|박진희|조한선|이기우|김동욱|최은주|안은정|이동민|변현석|박경태
20081718,강철우,이선균|이수경|이민기|유진|이일화|이문식|한명구|정의철|남궁은숙|양희정
20081716,유하,조인성|주진모|송지효|임주환|여욱환|심지호|송중기|노민우|조강현|김태수
20081727,이충렬,최원균|이삼순|김민자|최종만|최종민
20090014,김동원,정준호|정웅인|정운택|김상중|박상민|최경원|노승범|김홍식|홍광석|김형운
20080870,윤종석,김강우|조재현|박시연|김호성|신상열|홍의정|김준원|신현규|안재정|원동연
20090023,이호재,박용하|박희순|김민정|김무열|조덕현|김준성|신지희|박재웅|권형준|조재윤
20090022,홍지영,김태우|신민아|주지훈|전혜진|안혜경|민성욱|김호원|김도영|백진희
20090042,김한민,엄태웅|박용우|박솔미|조문희|김유석|이세나|최성순|이승준|박길수|서우
20090085,원태연,권상우|이보영|이범수|손현수|김흥국|이승철|신현탁|이한위|지대한|최종학
20090169,김성홍,문성근|추자현|전세현|오성수|이봉규|남문철|백설아|허기호|김봉수
20081737,신태라,김하늘|강지환|임성현|유승목|강규영|강신일|장남열|김형범|장영남|김민국
20090156,박대민,황정민|류덕환|오달수|엄지원|박진우|송요셉|홍서백|홍의정|홍의정|김동길
20090035,양익준,양익준|김꽃비|이환|손승현|강광희|강병조|조민영|김희수|길해연|정만식
20081003,박찬욱,송강호|김옥빈|신하균|김해숙|송영창|오달수|박인환|구용완|라미란|손종학
20090193,황수아,강혜정|박희순|문재원|강다연|허남훈|승리|강현정|조은지|유진성|이대영
20090225,박희곤,김래원|엄정화|임하룡|홍수현|박영석|박송해|김병옥|오정세|이얼|지대한
20090237,이해준,정재영|정려원|강문정|박보영|이성배|임수진|최소영|양미경|이정애|박영서
20090248,봉준호,김혜자|원빈|정영기|진구|윤제문|최재원|전미선|송새벽|천우희|이미도
20090261,홍상수,고현정|김태우|엄지원|문창길|공형진|정유미|서영화|유준상|하정우|예수정
20090297,이연우,김윤석|정경호|견미리|선우선|최수현|최권|신정근|이무생|유하복|차은재
