제목,네티즌점수,네티즌평가수,전문가평점평균,전문가수
화이트: 저주의 멜로디,6.841,3707,4.0,8
고양이: 죽음을 보는 두 개의 눈,5.071,1837,6.0,6
고지전,8.711,11367,6.575,10
마당을 나온 암탉,8.881,5747,6.2588888888888885,9
퀵,7.851,9574,6.055555555555555,9
7광구,3.341,20096,4.3,10
블라인드,9.081,218,6.0,5
최종병기 활,7.871,14507,6.8,10
푸른소금,7.061,4448,3.9444444444444446,9
가문의 영광4 - 가문의 수난,4.181,3714,2.25,4
도가니,9.271,10220,6.8,10
의뢰인,8.071,5121,5.875,10
챔프,8.391,2070,4.59375,8
카운트다운,5.401,20,,0
통증,7.841,2616,4.55,10
오직 그대만,9.151,7786,5.25,6
완득이,8.801,9725,6.857142857142857,7
투혼,7.921,1220,4.1875,4
히트,9.131,1528,8.0,1
Mr.아이돌,7.271,1461,4.5,4
너는 펫,6.251,3023,3.55,5
더 킥,6.961,925,3.5,2
완벽한 파트너,6.881,1096,4.0,1
커플즈,7.961,1313,5.083333333333333,6
특수본,6.981,2933,5.34375,8
티끌모아 로맨스,7.541,1855,6.142857142857143,7
결정적 한방,6.251,495,6.0,1
마이 웨이,7.221,9516,4.78125,8
오싹한 연애,8.551,6805,5.03125,8
퍼펙트 게임,8.951,6201,4.40625,8
네버엔딩 스토리,7.441,1180,2.0,4
댄싱퀸,8.861,6302,6.0,6
부러진 화살,8.911,7358,6.675,10
원더풀 라디오,7.581,3416,4.5,3
점박이:한반도의 공룡3D,7.661,832,,0
코알라 키드 : 영웅의 탄생,8.641,477,5.0,1
페이스메이커,8.851,3153,5.416666666666667,6
러브픽션,6.741,4755,6.785714285714286,7
범죄와의 전쟁: 나쁜놈들 전성시대,8.671,8043,7.5,8
파파,8.141,2561,5.5,4
하울링,6.761,3449,3.75,6
가비,6.871,1373,4.291666666666667,6
건축학개론,8.691,15460,7.1875,8
시체가 돌아왔다,7.421,2714,3.5833333333333335,6
화차,8.101,7527,4.428571428571429,7
간기남,6.921,2319,2.75,5
은교,7.041,5646,6.125,10
인류멸망 보고서,4.881,3879,6.166666666666667,6
내 아내의 모든 것,8.591,9024,5.35,10
돈의 맛,5.001,1,,0
미확인 동영상 : 절대클릭금지,6.131,3493,3.75,3
차형사,7.471,5173,3.725,10
미쓰GO,5.161,1921,5.0625,8
아부의 왕,5.661,1321,4.4,5
후궁 : 제왕의 첩,6.961,4681,6.0,8
5백만불의 사나이,5.001,1151,4.9,5
나는 공무원이다,6.151,1544,4.333333333333333,6
도둑들,7.671,21005,5.65,10
두 개의 달,7.031,2018,4.1875,4
무서운 이야기,5.871,2399,6.0,2
연가시,7.161,12955,4.464285714285714,7
577 프로젝트,8.241,1940,3.375,2
R2B: 리턴투베이스,7.431,7142,4.041666666666667,6
공모자들,7.041,6679,5.0,2
나는 왕이로소이다,7.441,3645,5.5,5
바람과 함께 사라지다,7.601,7981,4.083333333333333,3
이웃사람,7.531,5748,5.916666666666667,6
"광해, 왕이 된 남자",9.261,28336,5.425,10
피에타,7.791,4259,5.607142857142857,7
강철대오:구국의 철가방,6.501,1504,4.3125,4
늑대소년,8.661,34096,4.525,10
복숭아나무,7.211,1323,4.5,2
용의자X,6.321,19,,0
위험한 관계,8.011,1373,6.375,8
점쟁이들,5.851,4133,5.6875,8
회사원,6.561,5926,5.138888888888889,9
26년,6.451,51051,4.4,10
돈 크라이 마미,6.451,9071,4.5,2
음치 클리닉,6.921,2493,3.4166666666666665,6
자칼이 온다,6.311,4053,3.0,1
철가방 우수氏,9.121,1202,4.5,2
가문의 영광5 - 가문의 귀환,6.051,2061,,0
나의 PS 파트너,8.271,5858,3.75,7
반창꼬,8.581,10255,4.357142857142857,7
타워,8.021,14055,3.28125,8
7번방의 선물,8.831,45743,6.583333333333333,6
마이 리틀 히어로,8.441,1609,4.95,5
박수건달,8.131,11100,6.333333333333333,6
베를린,7.851,19988,6.111111111111111,9
뽀로로 극장판 슈퍼썰매 대모험,8.691,696,6.5,2
파이스토리 : 악당상어 소탕작전,8.691,421,5.0,1
남자사용설명서,7.101,9045,5.25,8
남쪽으로 튀어,7.811,4934,6.03125,8
분노의 윤리학,6.821,2461,6.666666666666667,3
신세계,8.951,21978,4.59375,8
사이코메트리,3.401,20,,0
연애의 온도,7.481,5766,5.055555555555555,9
지슬 - 끝나지 않은 세월2,6.301,6256,5.75,9
파파로티,8.281,10260,6.0,4
노리개,7.331,2078,4.0,2
런닝맨,9.251,97,5.0,2
전설의 주먹,7.551,6339,6.8,10
고령화 가족,8.271,5749,4.225,10
뜨거운 안녕,8.951,1913,5.0,3
몽타주,8.561,5657,4.25,6
미나문방구,7.071,2295,4.125,6
전국노래자랑,8.011,4990,6.25,4
꼭두각시,5.521,2439,1.0,2
닥터,5.691,2411,,0
더 웹툰: 예고살인,7.211,4105,4.375,8
무서운 이야기 2,6.651,5597,4.5,2
은밀하게 위대하게,7.131,37252,4.375,10
감시자들,7.751,13263,5.375,8
더 테러 라이브,6.261,27,,0
미스터 고,7.771,11039,3.71875,8
감기,6.921,13652,6.15,10
설국열차,7.981,37509,5.35,10
숨바꼭질,6.731,13494,3.9166666666666665,9
관상,8.031,14672,5.75,9
스파이,8.821,6266,6.321428571428571,7
공범,7.161,4162,5.333333333333333,6
깡철이,6.981,4451,4.35,5
노브레싱,7.601,3779,4.5,4
롤러코스터,6.721,4244,3.96875,8
밤의 여왕,6.881,1715,3.3125,4
소원,9.341,8600,6.464285714285714,7
응징자,6.111,2569,4.0,2
톱스타,7.381,2101,4.75,3
결혼전야,6.951,2438,4.25,3
더 파이브,6.101,3909,3.71875,8
동창생,7.311,4926,4.25,5
블랙 가스펠,9.071,46,,0
열한시,6.441,3642,5.875,8
창수,7.131,3603,6.0,1
친구 2,6.201,7619,5.5,5
변호인,9.011,92099,4.45,10
용의자,8.401,10720,5.694444444444445,9
집으로 가는 길,8.821,5268,5.2,10
남자가 사랑할 때,8.841,8512,4.59375,8
넛잡: 땅콩 도둑들,6.481,969,7.0,2
수상한 그녀,8.991,15047,3.75,9
조선미녀삼총사,3.951,4631,4.666666666666667,3
플랜맨,8.201,3754,5.5,2
피끓는 청춘,7.671,6556,4.65,5
관능의 법칙,7.671,1285,1.8333333333333333,3
또 하나의 약속,9.261,5285,5.291666666666667,6
신이 보낸 사람,8.021,3357,6.0,1
찌라시: 위험한 소문,7.511,2693,6.625,4
몬스터,5.691,4871,4.125,6
우아한 거짓말,8.451,3314,5.65625,8
가시,6.851,1857,5.0,2
방황하는 칼날,7.821,3191,4.888888888888889,9
백프로,5.401,477,,0
역린,7.011,13083,4.972222222222222,9
표적,7.221,5691,4.875,6
한공주,8.871,2998,6.0,9
끝까지 간다,9.091,11657,6.035714285714286,7
도희야,7.611,1075,6.025,10
인간중독,6.761,7496,5.125,10
경주,6.711,1099,7.333333333333333,9
우는 남자,5.941,3589,3.875,10
하이힐,7.811,2924,4.95,5
황제를 위하여,6.021,4115,4.666666666666667,3
군도: 민란의 시대,6.831,19650,6.425,10
명량,8.111,37884,5.275,10
분신사바 2,3.961,680,,0
소녀괴담,3.441,41,,0
신의 한 수,7.831,8086,5.027777777777778,9
좋은 친구들,7.871,2213,6.285714285714286,7
해적: 바다로 간 산적,8.091,13805,5.305555555555555,9
두근두근 내 인생,7.001,5734,6.611111111111111,9
