movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,audience_total,director_name_ko,cast_names_ko,vote_average_naver,vote_count_naver,critic_average,critic_count
20050239,너는 내 운명,You Are My Sunshine,ko,2005-09-23,121.0,,17382891000.0,9.081,6216,,['멜로/로맨스'],"[""(주)영화사봄"", ""씨제이엔터테인먼트"", ""(주)화인컷"", ""㈜블루캡"", ""세방현상(주)"", ""서울영상위원회""]","[""KR""]",2005,9,2659825.0,박진표,전도연|황정민|나문희|서주희|윤제문|김상호|이민아|임종윤|신수현|정광재,9.081,6216,6.6,5
20050237,미스터 주부퀴즈왕,Mr. Housewife,ko,2005-09-30,107.0,,1972572000.0,8.001,936,,['코미디'],"[""폴스타엔터테인먼트"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""세방현상(주)"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,9,315370.0,유선동,공형진|한석규|이주현|신은경|김영애|이주현|손범수|조은지|조윤성|천진호,8.001,936,5.0,3
20050245,사랑니,Blossom Again,ko,2005-09-29,115.0,,843448500.0,5.68,1100,,['멜로/로맨스'],"[""(주)시네마서비스"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""㈜블루캡"", ""서울영상위원회""]","[""KR""]",2005,9,131646.0,정지우,김정은|이태성|김준성|김지훈|정유미|김영재|유은희|엄용흠|장소연|이주실,5.68,1100,6.8,5
20050220,외출,April Snow,ko,2005-09-07,105.0,,4292733000.0,5.591,1628,,['멜로/로맨스'],"[""블루스톰(주)"", ""쇼이스트(주)"", ""쇼이스트(주)"", ""엠라인디스트리뷰션(주)"", ""㈜라이브톤""]","[""KR""]",2005,9,665420.0,허진호,배용준|손예진|류승수|전국환|김광일|이한위|유승목|곽수정|주부진,5.591,1628,6.333333333333333,6
20050216,형사 Duelist,The Duelist,ko,2005-09-08,113.0,,5716642500.0,5.891,5677,,"['멜로/로맨스', '액션']","[""웰메이드엔터테인먼트"", ""코리아픽쳐스(주)"", ""미시간벤처캐피탈(주)"", ""코어스튜디오(주)"", ""(주)브이에이스튜디오"", ""세방현상(주)"", ""플러스 액션 스턴트팀""]","[""KR""]",2005,9,900483.0,이명세,강동원|안성기|하지원|장민|송영창|윤주상|김보연|서동수|함성원|이동렬,5.891,5677,7.166666666666667,6
20050232,내 생애 가장 아름다운 일주일,All For Love,ko,2005-10-07,129.0,,14576101500.0,8.661,3537,,['멜로/로맨스'],"[""(주)두사부필름"", ""(주)수필름"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""㈜라이브톤"", ""모네프(주)"", ""세방현상(주)""]","[""KR""]",2005,10,2269939.0,민규동,황정민|엄정화|김유정|김윤석|진태현|임창정|정경호|최원석|김수로|이은희,8.661,3537,6.8,5
20050256,새드무비,Sad Movie,ko,2005-10-20,108.0,,5536840500.0,6.641,2398,,['드라마'],"[""(주)아이필름홀딩스"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""아이러브시네마"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""소빅창업투자(주)"", ""(주)아이에이치큐"", ""세방현상(주)"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,10,886670.0,권종관,신민아|염정아|임수정|정우성|차태현|이기우|조성현|조태현|윤현진|안길강,6.641,2398,5.0,1
20050261,야수와 미녀,The Beast and the Beauty,ko,2005-10-27,101.0,,8256875000.0,8.691,3083,,['코미디'],"[""시오필름(주)"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)나인앤미디어"", ""세방현상(주)"", ""빔필름 (엠버에이치엠 국내법인)""]","[""KR""]",2005,10,1320043.0,이계벽,류승범|신민아|김강우|손정민|송민석|함은정|안길강|허명행|김원중|조주현,8.691,3083,4.333333333333333,3
20050271,오로라 공주,Princess Aurora,ko,2005-10-27,106.0,,4998821500.0,8.151,2374,,"['범죄', '스릴러']","[""(주)이스트필름"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""㈜라이브톤"", ""세방현상(주)"", ""(사)부산영상위원회"", ""서울영상위원회""]","[""KR""]",2005,10,774324.0,방은진,엄정화|문성근|권오중|김선화|최종원|장영진|임예숙|박성빈|김연재|김용건,8.151,2374,5.4,5
20050292,광식이 동생 광태,When Romance Meets Destiny,ko,2005-11-23,104.0,,12768581009.0,7.831,2226,,['코미디'],"[""(주)엠케이픽처스 "", ""(주)엠케이픽처스 "", ""(주)리틀빅픽쳐스"", ""(주)명필름"", ""㈜블루캡"", ""디지털스튜디오투엘(주)""]","[""KR""]",2005,11,2018197.0,김현석,김주혁|봉태규|이요원|김아중|정경호|민도기|김형민|이대연|박철민|최은정,7.831,2226,6.666666666666667,6
