movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month
114661,연애의 목적,연애의 목적,ko,2005-06-10,121,0,0,5.8,20,0.8841,"['코미디', '로맨스']","['Sidus', 'CJ Entertainment']",['KR'],2005.0,6.0
114760,시체가 돌아왔다,시체가 돌아왔다,ko,2012-03-29,110,0,0,6.6,17,1.5216,"['코미디', '범죄']","['Cine2000', 'CJ Entertainment']",['KR'],2012.0,3.0
114994,달팽이의 별,달팽이의 별,ko,2012-03-22,87,0,0,7.1,13,0.2832,"['다큐멘터리', '드라마']","['NHK', 'CreativeEAST', 'Dalpaengee', 'Zoa Films']","['KR', 'JP', 'FI']",2012.0,3.0
115100,죽이고 싶은,죽이고 싶은,ko,2010-08-26,92,1000000,0,6.4,22,1.2621,['스릴러'],['Lotte Entertainment'],['KR'],2010.0,8.0
115134,간기남,간기남,ko,2012-04-11,117,0,0,5.826,23,2.0054,"['코미디', '범죄', '스릴러']","['kth', 'The Dream & Pictures', 'Showbox']",['KR'],2012.0,4.0
115149,굿바이 보이,굿바이 보이,ko,2011-06-02,112,0,0,5.0,1,0.1586,['드라마'],['Indiestory'],['KR'],2011.0,6.0
115963,도레미파솔라시도,도레미파솔라시도,ko,2008-04-03,105,0,0,5.8,17,1.6674,"['로맨스', '드라마']","['New Crayon Entertainment', 'Yedang Entertainment', 'Cinema Service']",['KR'],2008.0,4.0
116227,하울링,하울링,ko,2012-02-16,114,0,0,6.0,94,0.5246,"['미스터리', '스릴러']","['Opus Pictures', 'CJ Entertainment']",['KR'],2012.0,2.0
116323,부러진 화살,부러진 화살,ko,2011-10-09,100,0,0,6.8,32,0.9107,"['드라마', '범죄']","['Next Entertainment World', 'Aura Pictures', 'Finecut']",['KR'],2011.0,10.0
116488,내 아내의 모든 것,내 아내의 모든 것,ko,2012-05-17,121,0,0,6.7,47,0.9405,"['코미디', '로맨스']","['Zip Cinema', 'Next Entertainment World', 'Soo Film', 'Daemyung Culture Factory']",['KR'],2012.0,5.0
116842,가비,가비,ko,2012-03-15,115,4400000,0,6.6,8,1.5287,['드라마'],"['Cinema Service', 'Trophy Entertainment']",['KR'],2012.0,3.0
117260,가을로,가을로,ko,2006-10-26,108,0,0,6.286,7,0.2538,"['로맨스', '드라마']","['Lotte Entertainment', 'Ahnsworld', 'Mirovision']",['KR'],2006.0,10.0
117815,조금만 더 가까이,조금만 더 가까이,ko,2010-10-28,106,0,0,7.3,3,1.1416,"['드라마', '로맨스']","['KT&G Sangsangmadang', 'Indiestory']",['KR'],2010.0,10.0
118144,아들,아들,ko,2007-05-01,109,0,2403749,6.2,6,1.2862,['드라마'],"['CJ Entertainment', 'Cinema Service', 'Film It Suda']",['KR'],2007.0,5.0
118170,죽거나 혹은 나쁘거나,죽거나 혹은 나쁘거나,ko,2000-07-15,95,0,0,5.7,15,1.4202,"['범죄', '액션']",['Filmmaker R&K'],['KR'],2000.0,7.0
118172,과거는 낯선 나라다,과거는 낯선 나라다,ko,2008-03-06,90,0,0,0.0,0,0.1008,['다큐멘터리'],[],[],2008.0,3.0
118178,사랑니,사랑니,ko,2005-09-29,115,0,0,6.0,9,1.113,"['드라마', '로맨스']","['CJ Entertainment', 'Cinema Service']",['KR'],2005.0,9.0
118188,방문자,방문자,ko,2006-11-15,92,0,0,5.4,4,0.4686,['드라마'],"['CJ Entertainment', 'LJ Film', 'Prime Entertainment']",['KR'],2006.0,11.0
118189,망종,芒种,zh,2005-10-14,109,0,20277,7.2,6,1.3903,['드라마'],['DOO ENTERTAINMENT COMPANY'],"['CN', 'KR']",2005.0,10.0
118451,은교,은교,ko,2012-04-25,129,0,9048531,6.902,92,2.5735,"['드라마', '로맨스']","['Lotte Entertainment', 'Jung Ji-woo Film', ""Let's Films""]",['KR'],2012.0,4.0
118469,퍼펙트 게임,퍼펙트 게임,ko,2011-12-21,127,0,0,6.7,11,1.136,['드라마'],"['Lotte Entertainment', 'Dasepo Club', 'Dong-a Export']",['KR'],2011.0,12.0
118624,인류멸망보고서,인류멸망보고서,ko,2012-04-11,113,0,0,6.2,110,1.488,"['SF', '판타지', '드라마', '코미디']",[],['KR'],2012.0,4.0
120247,작은 연못,작은 연못,ko,2010-06-23,86,0,0,6.3,13,1.0139,"['드라마', '액션', '스릴러', '전쟁']","['MK Pictures', 'M-Line Distribution']",['KR'],2010.0,6.0
120551,어떤 방문,어떤 방문,ko,2009-11-12,110,0,0,5.2,10,0.5704,['드라마'],['Jeonju International Film Festival'],['KR'],2009.0,11.0
120702,악인은 너무 많다,악인은 너무 많다,ko,2011-12-15,75,0,0,3.5,2,0.486,[],[],['KR'],2011.0,12.0
121491,연가시,연가시,ko,2012-07-05,109,0,0,6.605,110,2.8505,"['스릴러', '드라마']","['CJ Entertainment', 'Ozone Film']",['KR'],2012.0,7.0
121818,붉은 바캉스 검은 웨딩,붉은 바캉스 검은 웨딩,ko,2011-12-08,90,0,0,5.4,14,1.2796,['드라마'],[],['KR'],2011.0,12.0
122126,후궁: 제왕의 첩,후궁: 제왕의 첩,ko,2012-06-06,122,0,16465764,5.95,100,6.0309,['드라마'],"['Lotte Entertainment', 'HwangKiSung Films', 'My Way Film Company']","['KR', 'HK']",2012.0,6.0
123346,고갈,고갈,ko,2008-10-03,128,0,0,5.2,4,0.1976,['공포'],['Goksa'],['KR'],2008.0,10.0
123377,피에타,피에타,ko,2012-09-06,104,103000,6616296,7.076,389,1.2467,['드라마'],"['Next Entertainment World', 'Kim Ki Duk Film', 'Finecut']",['KR'],2012.0,9.0
124157,도둑들,도둑들,ko,2012-07-25,135,0,83519699,6.705,303,2.3824,"['액션', '범죄']","['Caper Film', 'Michigan Venture Capital', 'Showbox', 'OCN', 'KM Culture', 'Korean Film Council', 'KT alpha', 'KTB Network', 'SCS Entertainment', 'Sega Sammy Entertainment', 'October Pictures', 'CJ Investment']","['HK', 'KR']",2012.0,7.0
124294,R2B: 리턴 투 베이스,R2B: 리턴 투 베이스,ko,2012-08-15,113,10000000,0,6.6,140,1.2698,"['액션', '드라마', '로맨스']",['CJ Entertainment'],['KR'],2012.0,8.0
124874,차형사,차형사,ko,2012-05-30,110,0,0,5.4,24,1.1708,"['코미디', '로맨스']",[],['KR'],2012.0,5.0
125939,트루맛쇼,트루맛쇼,ko,2011-06-02,70,0,0,8.0,1,0.2148,['다큐멘터리'],['b2e'],['KR'],2011.0,6.0
126425,"바다 쪽으로, 한 뼘 더","바다 쪽으로, 한 뼘 더",ko,2009-05-21,90,0,0,6.0,4,0.916,"['드라마', '로맨스']",[],['KR'],2009.0,5.0
126440,썬데이 서울,썬데이 서울,ko,2006-02-09,95,0,0,4.0,2,1.6171,[],[],['KR'],2006.0,2.0
127189,소중한 날의 꿈,소중한 날의 꿈,ko,2011-06-23,98,0,0,7.0,4,0.3783,"['애니메이션', '드라마']",['Meditation With a Pencil'],['KR'],2011.0,6.0
127203,돌멩이의 꿈,돌멩이의 꿈,ko,2009-12-10,104,0,0,6.5,1,0.2181,['코미디'],"['Samhwa Networks', 'CJ Entertainment']",['KR'],2009.0,12.0
128111,범죄소년,범죄소년,ko,2012-09-11,107,0,0,7.1,14,0.562,['드라마'],['National Human Rights Commission of Korea'],['KR'],2012.0,9.0
128246,늑대소년,늑대소년,ko,2012-10-31,125,0,0,7.6,270,1.9936,"['로맨스', '판타지']","['Bidangil Pictures', 'Silk Road']",['KR'],2012.0,10.0
128411,방과후 옥상,방과후 옥상,ko,2006-03-16,103,1800000,0,6.0,17,0.6742,['코미디'],"['Cinema Service', 'CJ Entertainment', 'K&Entertainment']",['KR'],2006.0,3.0
128475,점박이: 한반도의 공룡 3D,점박이: 한반도의 공룡 3D,ko,2012-01-26,88,0,0,6.2,28,1.8254,"['애니메이션', '모험']",['Korea Educational Broadcasting System (EBS)'],['KR'],2012.0,1.0
129534,저스트 프렌즈,저스트 프렌즈,ko,2012-05-03,103,0,0,5.0,1,0.3606,['로맨스'],[],['KR'],2012.0,5.0
130160,세계의 욕망,Worldly Desires,th,2005-04-23,43,50000,0,5.5,6,0.1363,['드라마'],"['Kick the Machine', 'Jeonju International Film Festival']","['KR', 'TH']",2005.0,4.0
130281,페이스 메이커,페이스 메이커,ko,2012-01-18,124,0,0,7.8,5,1.0871,['드라마'],"['Studio Dream Capture', 'Lotte Entertainment', 'Vantage Holdings', 'Cinergy House']",['KR'],2012.0,1.0
130958,모차르트 타운,모차르트 타운,ko,2011-09-15,91,0,0,4.7,3,0.224,['드라마'],['TreeFilm'],['KR'],2011.0,9.0
